
################################################################################
#          IDS of CJK characters for Yuhao Input Method (Yuniversus)           #
#          URL: https://github.com/forFudan/ids                                #
#          Yuhao Input Method: https://shurufa.app                             #
#          Author: ZHU Yuhao (朱宇浩) <dr.yuhao.zhu@outlook.com>               #
#          Unicode Version: 16.0+                                            #
#          File Date: 2024-09-24                                               #
################################################################################
#
# The progressive Ideographic Sequence Sequence (IDS) of CJK characters in this 
# file is used to generate the divisons for Yuhao Input Method (Yuniversus)], 
# a shape-based Chinese input method, that is able to input all CJK characters, 
# radicals, strokes, Tangut, etc.
#
# There are multiple columns, showing variations of different sources. 
# The sources are listed as follows:
#
# - G (People's Republic of China)
# - T (Taipei Computer Association)
# - H (Hong Kong SAR, PRC)
# - J (Japan)
# - K (Republic of Korea)
# - V (Socialist Republic of Vietnam)
# - U (Unicode Technical Comittee)
# - S (SAṃgaṇikīkṛtaṃ Taiśotripiṭakaṃ, SAT)
# - B (United Kingdom)
# - M (Macau SAR, PRC)
# - P (Democratic People's Republic of Korea)
#
# The characters that are used in the IDS are from:
#
# - CJK and all extensions.
# - Strokes, radicals, and supplements.
# - [Roots of Yuhao IME (Yuniversus)](https://shurufa.app/docs/yuniversus.html).
#
# Due to special rules of Yuniversus that the order of strokes is prioritized, 
# the descriptive characters `⿺`, namely "surround bottom and left side", 
# is replaced by either `⿱` or `⿰`, for specific radicals, e.g, `辶𠃊`. 
# Please be careful in such situations:
#
# - `近 = ⿺辶斤` will be replaced by `⿱斤辶`.
# - `亾 = ⿺𠃊人` will be replaced by `⿱人𠃊`.
#
# You can very welcomed to use, distribute, or modify the IDS in this file. 
# Let us work together to pass the Chinese culture down to the next generations.
#
################################################################################
char,unicode,block,G,T,H,J,K,V,U,S,B,M,P
𲕞,3255E,CJK-J,,,,,,,,,,,
𲕟,3255F,CJK-J,,,,,,,,,,,
𲕠,32560,CJK-J,,,,,,,,,,,
𲕡,32561,CJK-J,,,,,,,,,,,
𲕢,32562,CJK-J,,,,,,,,,,,
𲕣,32563,CJK-J,,,,,,,,,,,
𲕤,32564,CJK-J,,,,,,,,,,,
𲕥,32565,CJK-J,,,,,,,,,,,
𲕦,32566,CJK-J,,,,,,,,,,,
𲕧,32567,CJK-J,,,,,,,,,,,
𲕨,32568,CJK-J,,,,,,,,,,,
𲕩,32569,CJK-J,,,,,,,,,,,
𲕪,3256A,CJK-J,,,,,,,,,,,
𲕫,3256B,CJK-J,,,,,,,,,,,
𲕬,3256C,CJK-J,,,,,,,,,,,
𲕭,3256D,CJK-J,,,,,,,,,,,
𲕮,3256E,CJK-J,,,,,,,,,,,
𲕯,3256F,CJK-J,,,,,,,,,,,
𲕰,32570,CJK-J,,,,,,,,,,,
𲕱,32571,CJK-J,,,,,,,,,,,
𲕲,32572,CJK-J,,,,,,,,,,,
𲕳,32573,CJK-J,,,,,,,,,,,
𲕴,32574,CJK-J,,,,,,,,,,,
𲕵,32575,CJK-J,,,,,,,,,,,
𲕶,32576,CJK-J,,,,,,,,,,,
𲕷,32577,CJK-J,,,,,,,,,,,
𲕸,32578,CJK-J,,,,,,,,,,,
𲕹,32579,CJK-J,,,,,,,,,,,
𲕺,3257A,CJK-J,,,,,,,,,,,
𲕻,3257B,CJK-J,,,,,,,,,,,
𲕼,3257C,CJK-J,,,,,,,,,,,
𲕽,3257D,CJK-J,,,,,,,,,,,
𲕾,3257E,CJK-J,,,,,,,,,,,
𲕿,3257F,CJK-J,,,,,,,,,,,
𲖀,32580,CJK-J,,,,,,,,,,,
𲖁,32581,CJK-J,,,,,,,,,,,
𲖂,32582,CJK-J,,,,,,,,,,,
𲖃,32583,CJK-J,,,,,,,,,,,
𲖄,32584,CJK-J,,,,,,,,,,,
𲖅,32585,CJK-J,,,,,,,,,,,
𲖆,32586,CJK-J,,,,,,,,,,,
𲖇,32587,CJK-J,,,,,,,,,,,
𲖈,32588,CJK-J,,,,,,,,,,,
𲖉,32589,CJK-J,,,,,,,,,,,
𲖊,3258A,CJK-J,,,,,,,,,,,
𲖋,3258B,CJK-J,,,,,,,,,,,
𲖌,3258C,CJK-J,,,,,,,,,,,
𲖍,3258D,CJK-J,,,,,,,,,,,
𲖎,3258E,CJK-J,,,,,,,,,,,
𲖏,3258F,CJK-J,,,,,,,,,,,
𲖐,32590,CJK-J,,,,,,,,,,,
𲖑,32591,CJK-J,,,,,,,,,,,
𲖒,32592,CJK-J,,,,,,,,,,,
𲖓,32593,CJK-J,,,,,,,,,,,
𲖔,32594,CJK-J,,,,,,,,,,,
𲖕,32595,CJK-J,,,,,,,,,,,
𲖖,32596,CJK-J,,,,,,,,,,,
𲖗,32597,CJK-J,,,,,,,,,,,
𲖘,32598,CJK-J,,,,,,,,,,,
𲖙,32599,CJK-J,,,,,,,,,,,
𲖚,3259A,CJK-J,,,,,,,,,,,
𲖛,3259B,CJK-J,,,,,,,,,,,
𲖜,3259C,CJK-J,,,,,,,,,,,
𲖝,3259D,CJK-J,,,,,,,,,,,
𲖞,3259E,CJK-J,,,,,,,,,,,
𲖟,3259F,CJK-J,,,,,,,,,,,
𲖠,325A0,CJK-J,,,,,,,,,,,
𲖡,325A1,CJK-J,,,,,,,,,,,
𲖢,325A2,CJK-J,,,,,,,,,,,
𲖣,325A3,CJK-J,,,,,,,,,,,
𲖤,325A4,CJK-J,,,,,,,,,,,
𲖥,325A5,CJK-J,,,,,,,,,,,
𲖦,325A6,CJK-J,,,,,,,,,,,
𲖧,325A7,CJK-J,,,,,,,,,,,
𲖨,325A8,CJK-J,,,,,,,,,,,
𲖩,325A9,CJK-J,,,,,,,,,,,
𲖪,325AA,CJK-J,,,,,,,,,,,
𲖫,325AB,CJK-J,,,,,,,,,,,
𲖬,325AC,CJK-J,,,,,,,,,,,
𲖭,325AD,CJK-J,,,,,,,,,,,
𲖮,325AE,CJK-J,,,,,,,,,,,
𲖯,325AF,CJK-J,,,,,,,,,,,
𲖰,325B0,CJK-J,,,,,,,,,,,
𲖱,325B1,CJK-J,,,,,,,,,,,
𲖲,325B2,CJK-J,,,,,,,,,,,
𲖳,325B3,CJK-J,,,,,,,,,,,
𲖴,325B4,CJK-J,,,,,,,,,,,
𲖵,325B5,CJK-J,,,,,,,,,,,
𲖶,325B6,CJK-J,,,,,,,,,,,
𲖷,325B7,CJK-J,,,,,,,,,,,
𲖸,325B8,CJK-J,,,,,,,,,,,
𲖹,325B9,CJK-J,,,,,,,,,,,
𲖺,325BA,CJK-J,,,,,,,,,,,
𲖻,325BB,CJK-J,,,,,,,,,,,
𲖼,325BC,CJK-J,,,,,,,,,,,
𲖽,325BD,CJK-J,,,,,,,,,,,
𲖾,325BE,CJK-J,,,,,,,,,,,
𲖿,325BF,CJK-J,,,,,,,,,,,
𲗀,325C0,CJK-J,,,,,,,,,,,
𲗁,325C1,CJK-J,,,,,,,,,,,
𲗂,325C2,CJK-J,,,,,,,,,,,
𲗃,325C3,CJK-J,,,,,,,,,,,
𲗄,325C4,CJK-J,,,,,,,,,,,
𲗅,325C5,CJK-J,,,,,,,,,,,
𲗆,325C6,CJK-J,,,,,,,,,,,
𲗇,325C7,CJK-J,,,,,,,,,,,
𲗈,325C8,CJK-J,,,,,,,,,,,
𲗉,325C9,CJK-J,,,,,,,,,,,
𲗊,325CA,CJK-J,,,,,,,,,,,
𲗋,325CB,CJK-J,,,,,,,,,,,
𲗌,325CC,CJK-J,,,,,,,,,,,
𲗍,325CD,CJK-J,,,,,,,,,,,
𲗎,325CE,CJK-J,,,,,,,,,,,
𲗏,325CF,CJK-J,,,,,,,,,,,
𲗐,325D0,CJK-J,,,,,,,,,,,
𲗑,325D1,CJK-J,,,,,,,,,,,
𲗒,325D2,CJK-J,,,,,,,,,,,
𲗓,325D3,CJK-J,,,,,,,,,,,
𲗔,325D4,CJK-J,,,,,,,,,,,
𲗕,325D5,CJK-J,,,,,,,,,,,
𲗖,325D6,CJK-J,,,,,,,,,,,
𲗗,325D7,CJK-J,,,,,,,,,,,
𲗘,325D8,CJK-J,,,,,,,,,,,
𲗙,325D9,CJK-J,,,,,,,,,,,
𲗚,325DA,CJK-J,,,,,,,,,,,
𲗛,325DB,CJK-J,,,,,,,,,,,
𲗜,325DC,CJK-J,,,,,,,,,,,
𲗝,325DD,CJK-J,,,,,,,,,,,
𲗞,325DE,CJK-J,,,,,,,,,,,
𲗟,325DF,CJK-J,,,,,,,,,,,
𲗠,325E0,CJK-J,,,,,,,,,,,
𲗡,325E1,CJK-J,,,,,,,,,,,
𲗢,325E2,CJK-J,,,,,,,,,,,
𲗣,325E3,CJK-J,,,,,,,,,,,
𲗤,325E4,CJK-J,,,,,,,,,,,
𲗥,325E5,CJK-J,,,,,,,,,,,
𲗦,325E6,CJK-J,,,,,,,,,,,
𲗧,325E7,CJK-J,,,,,,,,,,,
𲗨,325E8,CJK-J,,,,,,,,,,,
𲗩,325E9,CJK-J,,,,,,,,,,,
𲗪,325EA,CJK-J,,,,,,,,,,,
𲗫,325EB,CJK-J,,,,,,,,,,,
𲗬,325EC,CJK-J,,,,,,,,,,,
𲗭,325ED,CJK-J,,,,,,,,,,,
𲗮,325EE,CJK-J,,,,,,,,,,,
𲗯,325EF,CJK-J,,,,,,,,,,,
𲗰,325F0,CJK-J,,,,,,,,,,,
𲗱,325F1,CJK-J,,,,,,,,,,,
𲗲,325F2,CJK-J,,,,,,,,,,,
𲗳,325F3,CJK-J,,,,,,,,,,,
𲗴,325F4,CJK-J,,,,,,,,,,,
𲗵,325F5,CJK-J,,,,,,,,,,,
𲗶,325F6,CJK-J,,,,,,,,,,,
𲗷,325F7,CJK-J,,,,,,,,,,,
𲗸,325F8,CJK-J,,,,,,,,,,,
𲗹,325F9,CJK-J,,,,,,,,,,,
𲗺,325FA,CJK-J,,,,,,,,,,,
𲗻,325FB,CJK-J,,,,,,,,,,,
𲗼,325FC,CJK-J,,,,,,,,,,,
𲗽,325FD,CJK-J,,,,,,,,,,,
𲗾,325FE,CJK-J,,,,,,,,,,,
𲗿,325FF,CJK-J,,,,,,,,,,,
𲘀,32600,CJK-J,,,,,,,,,,,
𲘁,32601,CJK-J,,,,,,,,,,,
𲘂,32602,CJK-J,,,,,,,,,,,
𲘃,32603,CJK-J,,,,,,,,,,,
𲘄,32604,CJK-J,,,,,,,,,,,
𲘅,32605,CJK-J,,,,,,,,,,,
𲘆,32606,CJK-J,,,,,,,,,,,
𲘇,32607,CJK-J,,,,,,,,,,,
𲘈,32608,CJK-J,,,,,,,,,,,
𲘉,32609,CJK-J,,,,,,,,,,,
𲘊,3260A,CJK-J,,,,,,,,,,,
𲘋,3260B,CJK-J,,,,,,,,,,,
𲘌,3260C,CJK-J,,,,,,,,,,,
𲘍,3260D,CJK-J,,,,,,,,,,,
𲘎,3260E,CJK-J,,,,,,,,,,,
𲘏,3260F,CJK-J,,,,,,,,,,,
𲘐,32610,CJK-J,,,,,,,,,,,
𲘑,32611,CJK-J,,,,,,,,,,,
𲘒,32612,CJK-J,,,,,,,,,,,
𲘓,32613,CJK-J,,,,,,,,,,,
𲘔,32614,CJK-J,,,,,,,,,,,
𲘕,32615,CJK-J,,,,,,,,,,,
𲘖,32616,CJK-J,,,,,,,,,,,
𲘗,32617,CJK-J,,,,,,,,,,,
𲘘,32618,CJK-J,,,,,,,,,,,
𲘙,32619,CJK-J,,,,,,,,,,,
𲘚,3261A,CJK-J,,,,,,,,,,,
𲘛,3261B,CJK-J,,,,,,,,,,,
𲘜,3261C,CJK-J,,,,,,,,,,,
𲘝,3261D,CJK-J,,,,,,,,,,,
𲘞,3261E,CJK-J,,,,,,,,,,,
𲘟,3261F,CJK-J,,,,,,,,,,,
𲘠,32620,CJK-J,,,,,,,,,,,
𲘡,32621,CJK-J,,,,,,,,,,,
𲘢,32622,CJK-J,,,,,,,,,,,
𲘣,32623,CJK-J,,,,,,,,,,,
𲘤,32624,CJK-J,,,,,,,,,,,
𲘥,32625,CJK-J,,,,,,,,,,,
𲘦,32626,CJK-J,,,,,,,,,,,
𲘧,32627,CJK-J,,,,,,,,,,,
𲘨,32628,CJK-J,,,,,,,,,,,
𲘩,32629,CJK-J,,,,,,,,,,,
𲘪,3262A,CJK-J,,,,,,,,,,,
𲘫,3262B,CJK-J,,,,,,,,,,,
𲘬,3262C,CJK-J,,,,,,,,,,,
𲘭,3262D,CJK-J,,,,,,,,,,,
𲘮,3262E,CJK-J,,,,,,,,,,,
𲘯,3262F,CJK-J,,,,,,,,,,,
𲘰,32630,CJK-J,,,,,,,,,,,
𲘱,32631,CJK-J,,,,,,,,,,,
𲘲,32632,CJK-J,,,,,,,,,,,
𲘳,32633,CJK-J,,,,,,,,,,,
𲘴,32634,CJK-J,,,,,,,,,,,
𲘵,32635,CJK-J,,,,,,,,,,,
𲘶,32636,CJK-J,,,,,,,,,,,
𲘷,32637,CJK-J,,,,,,,,,,,
𲘸,32638,CJK-J,,,,,,,,,,,
𲘹,32639,CJK-J,,,,,,,,,,,
𲘺,3263A,CJK-J,,,,,,,,,,,
𲘻,3263B,CJK-J,,,,,,,,,,,
𲘼,3263C,CJK-J,,,,,,,,,,,
𲘽,3263D,CJK-J,,,,,,,,,,,
𲘾,3263E,CJK-J,,,,,,,,,,,
𲘿,3263F,CJK-J,,,,,,,,,,,
𲙀,32640,CJK-J,,,,,,,,,,,
𲙁,32641,CJK-J,,,,,,,,,,,
𲙂,32642,CJK-J,,,,,,,,,,,
𲙃,32643,CJK-J,,,,,,,,,,,
𲙄,32644,CJK-J,,,,,,,,,,,
𲙅,32645,CJK-J,,,,,,,,,,,
𲙆,32646,CJK-J,,,,,,,,,,,
𲙇,32647,CJK-J,,,,,,,,,,,
𲙈,32648,CJK-J,,,,,,,,,,,
𲙉,32649,CJK-J,,,,,,,,,,,
𲙊,3264A,CJK-J,,,,,,,,,,,
𲙋,3264B,CJK-J,,,,,,,,,,,
𲙌,3264C,CJK-J,,,,,,,,,,,
𲙍,3264D,CJK-J,,,,,,,,,,,
𲙎,3264E,CJK-J,,,,,,,,,,,
𲙏,3264F,CJK-J,,,,,,,,,,,
𲙐,32650,CJK-J,,,,,,,,,,,
𲙑,32651,CJK-J,,,,,,,,,,,
𲙒,32652,CJK-J,,,,,,,,,,,
𲙓,32653,CJK-J,,,,,,,,,,,
𲙔,32654,CJK-J,,,,,,,,,,,
𲙕,32655,CJK-J,,,,,,,,,,,
𲙖,32656,CJK-J,,,,,,,,,,,
𲙗,32657,CJK-J,,,,,,,,,,,
𲙘,32658,CJK-J,,,,,,,,,,,
𲙙,32659,CJK-J,,,,,,,,,,,
𲙚,3265A,CJK-J,,,,,,,,,,,
𲙛,3265B,CJK-J,,,,,,,,,,,
𲙜,3265C,CJK-J,,,,,,,,,,,
𲙝,3265D,CJK-J,,,,,,,,,,,
𲙞,3265E,CJK-J,,,,,,,,,,,
𲙟,3265F,CJK-J,,,,,,,,,,,
𲙠,32660,CJK-J,,,,,,,,,,,
𲙡,32661,CJK-J,,,,,,,,,,,
𲙢,32662,CJK-J,,,,,,,,,,,
𲙣,32663,CJK-J,,,,,,,,,,,
𲙤,32664,CJK-J,,,,,,,,,,,
𲙥,32665,CJK-J,,,,,,,,,,,
𲙦,32666,CJK-J,,,,,,,,,,,
𲙧,32667,CJK-J,,,,,,,,,,,
𲙨,32668,CJK-J,,,,,,,,,,,
𲙩,32669,CJK-J,,,,,,,,,,,
𲙪,3266A,CJK-J,,,,,,,,,,,
𲙫,3266B,CJK-J,,,,,,,,,,,
𲙬,3266C,CJK-J,,,,,,,,,,,
𲙭,3266D,CJK-J,,,,,,,,,,,
𲙮,3266E,CJK-J,,,,,,,,,,,
𲙯,3266F,CJK-J,,,,,,,,,,,
𲙰,32670,CJK-J,,,,,,,,,,,
𲙱,32671,CJK-J,,,,,,,,,,,
𲙲,32672,CJK-J,,,,,,,,,,,
𲙳,32673,CJK-J,,,,,,,,,,,
𲙴,32674,CJK-J,,,,,,,,,,,
𲙵,32675,CJK-J,,,,,,,,,,,
𲙶,32676,CJK-J,,,,,,,,,,,
𲙷,32677,CJK-J,,,,,,,,,,,
𲙸,32678,CJK-J,,,,,,,,,,,
𲙹,32679,CJK-J,,,,,,,,,,,
𲙺,3267A,CJK-J,,,,,,,,,,,
𲙻,3267B,CJK-J,,,,,,,,,,,
𲙼,3267C,CJK-J,,,,,,,,,,,
𲙽,3267D,CJK-J,,,,,,,,,,,
𲙾,3267E,CJK-J,,,,,,,,,,,
𲙿,3267F,CJK-J,,,,,,,,,,,
𲚀,32680,CJK-J,,,,,,,,,,,
𲚁,32681,CJK-J,,,,,,,,,,,
𲚂,32682,CJK-J,,,,,,,,,,,
𲚃,32683,CJK-J,,,,,,,,,,,
𲚄,32684,CJK-J,,,,,,,,,,,
𲚅,32685,CJK-J,,,,,,,,,,,
𲚆,32686,CJK-J,,,,,,,,,,,
𲚇,32687,CJK-J,,,,,,,,,,,
𲚈,32688,CJK-J,,,,,,,,,,,
𲚉,32689,CJK-J,,,,,,,,,,,
𲚊,3268A,CJK-J,,,,,,,,,,,
𲚋,3268B,CJK-J,,,,,,,,,,,
𲚌,3268C,CJK-J,,,,,,,,,,,
𲚍,3268D,CJK-J,,,,,,,,,,,
𲚎,3268E,CJK-J,,,,,,,,,,,
𲚏,3268F,CJK-J,,,,,,,,,,,
𲚐,32690,CJK-J,,,,,,,,,,,
𲚑,32691,CJK-J,,,,,,,,,,,
𲚒,32692,CJK-J,,,,,,,,,,,
𲚓,32693,CJK-J,,,,,,,,,,,
𲚔,32694,CJK-J,,,,,,,,,,,
𲚕,32695,CJK-J,,,,,,,,,,,
𲚖,32696,CJK-J,,,,,,,,,,,
𲚗,32697,CJK-J,,,,,,,,,,,
𲚘,32698,CJK-J,,,,,,,,,,,
𲚙,32699,CJK-J,,,,,,,,,,,
𲚚,3269A,CJK-J,,,,,,,,,,,
𲚛,3269B,CJK-J,,,,,,,,,,,
𲚜,3269C,CJK-J,,,,,,,,,,,
𲚝,3269D,CJK-J,,,,,,,,,,,
𲚞,3269E,CJK-J,,,,,,,,,,,
𲚟,3269F,CJK-J,,,,,,,,,,,
𲚠,326A0,CJK-J,,,,,,,,,,,
𲚡,326A1,CJK-J,,,,,,,,,,,
𲚢,326A2,CJK-J,,,,,,,,,,,
𲚣,326A3,CJK-J,,,,,,,,,,,
𲚤,326A4,CJK-J,,,,,,,,,,,
𲚥,326A5,CJK-J,,,,,,,,,,,
𲚦,326A6,CJK-J,,,,,,,,,,,
𲚧,326A7,CJK-J,,,,,,,,,,,
𲚨,326A8,CJK-J,,,,,,,,,,,
𲚩,326A9,CJK-J,,,,,,,,,,,
𲚪,326AA,CJK-J,,,,,,,,,,,
𲚫,326AB,CJK-J,,,,,,,,,,,
𲚬,326AC,CJK-J,,,,,,,,,,,
𲚭,326AD,CJK-J,,,,,,,,,,,
𲚮,326AE,CJK-J,,,,,,,,,,,
𲚯,326AF,CJK-J,,,,,,,,,,,
𲚰,326B0,CJK-J,,,,,,,,,,,
𲚱,326B1,CJK-J,,,,,,,,,,,
𲚲,326B2,CJK-J,,,,,,,,,,,
𲚳,326B3,CJK-J,,,,,,,,,,,
𲚴,326B4,CJK-J,,,,,,,,,,,
𲚵,326B5,CJK-J,,,,,,,,,,,
𲚶,326B6,CJK-J,,,,,,,,,,,
𲚷,326B7,CJK-J,,,,,,,,,,,
𲚸,326B8,CJK-J,,,,,,,,,,,
𲚹,326B9,CJK-J,,,,,,,,,,,
𲚺,326BA,CJK-J,,,,,,,,,,,
𲚻,326BB,CJK-J,,,,,,,,,,,
𲚼,326BC,CJK-J,,,,,,,,,,,
𲚽,326BD,CJK-J,,,,,,,,,,,
𲚾,326BE,CJK-J,,,,,,,,,,,
𲚿,326BF,CJK-J,,,,,,,,,,,
𲛀,326C0,CJK-J,,,,,,,,,,,
𲛁,326C1,CJK-J,,,,,,,,,,,
𲛂,326C2,CJK-J,,,,,,,,,,,
𲛃,326C3,CJK-J,,,,,,,,,,,
𲛄,326C4,CJK-J,,,,,,,,,,,
𲛅,326C5,CJK-J,,,,,,,,,,,
𲛆,326C6,CJK-J,,,,,,,,,,,
𲛇,326C7,CJK-J,,,,,,,,,,,
𲛈,326C8,CJK-J,,,,,,,,,,,
𲛉,326C9,CJK-J,,,,,,,,,,,
𲛊,326CA,CJK-J,,,,,,,,,,,
𲛋,326CB,CJK-J,,,,,,,,,,,
𲛌,326CC,CJK-J,,,,,,,,,,,
𲛍,326CD,CJK-J,,,,,,,,,,,
𲛎,326CE,CJK-J,,,,,,,,,,,
𲛏,326CF,CJK-J,,,,,,,,,,,
𲛐,326D0,CJK-J,,,,,,,,,,,
𲛑,326D1,CJK-J,,,,,,,,,,,
𲛒,326D2,CJK-J,,,,,,,,,,,
𲛓,326D3,CJK-J,,,,,,,,,,,
𲛔,326D4,CJK-J,,,,,,,,,,,
𲛕,326D5,CJK-J,,,,,,,,,,,
𲛖,326D6,CJK-J,,,,,,,,,,,
𲛗,326D7,CJK-J,,,,,,,,,,,
𲛘,326D8,CJK-J,,,,,,,,,,,
𲛙,326D9,CJK-J,,,,,,,,,,,
𲛚,326DA,CJK-J,,,,,,,,,,,
𲛛,326DB,CJK-J,,,,,,,,,,,
𲛜,326DC,CJK-J,,,,,,,,,,,
𲛝,326DD,CJK-J,,,,,,,,,,,
𲛞,326DE,CJK-J,,,,,,,,,,,
𲛟,326DF,CJK-J,,,,,,,,,,,
𲛠,326E0,CJK-J,,,,,,,,,,,
𲛡,326E1,CJK-J,,,,,,,,,,,
𲛢,326E2,CJK-J,,,,,,,,,,,
𲛣,326E3,CJK-J,,,,,,,,,,,
𲛤,326E4,CJK-J,,,,,,,,,,,
𲛥,326E5,CJK-J,,,,,,,,,,,
𲛦,326E6,CJK-J,,,,,,,,,,,
𲛧,326E7,CJK-J,,,,,,,,,,,
𲛨,326E8,CJK-J,,,,,,,,,,,
𲛩,326E9,CJK-J,,,,,,,,,,,
𲛪,326EA,CJK-J,,,,,,,,,,,
𲛫,326EB,CJK-J,,,,,,,,,,,
𲛬,326EC,CJK-J,,,,,,,,,,,
𲛭,326ED,CJK-J,,,,,,,,,,,
𲛮,326EE,CJK-J,,,,,,,,,,,
𲛯,326EF,CJK-J,,,,,,,,,,,
𲛰,326F0,CJK-J,,,,,,,,,,,
𲛱,326F1,CJK-J,,,,,,,,,,,
𲛲,326F2,CJK-J,,,,,,,,,,,
𲛳,326F3,CJK-J,,,,,,,,,,,
𲛴,326F4,CJK-J,,,,,,,,,,,
𲛵,326F5,CJK-J,,,,,,,,,,,
𲛶,326F6,CJK-J,,,,,,,,,,,
𲛷,326F7,CJK-J,,,,,,,,,,,
𲛸,326F8,CJK-J,,,,,,,,,,,
𲛹,326F9,CJK-J,,,,,,,,,,,
𲛺,326FA,CJK-J,,,,,,,,,,,
𲛻,326FB,CJK-J,,,,,,,,,,,
𲛼,326FC,CJK-J,,,,,,,,,,,
𲛽,326FD,CJK-J,,,,,,,,,,,
𲛾,326FE,CJK-J,,,,,,,,,,,
𲛿,326FF,CJK-J,,,,,,,,,,,
𲜀,32700,CJK-J,,,,,,,,,,,
𲜁,32701,CJK-J,,,,,,,,,,,
𲜂,32702,CJK-J,,,,,,,,,,,
𲜃,32703,CJK-J,,,,,,,,,,,
𲜄,32704,CJK-J,,,,,,,,,,,
𲜅,32705,CJK-J,,,,,,,,,,,
𲜆,32706,CJK-J,,,,,,,,,,,
𲜇,32707,CJK-J,,,,,,,,,,,
𲜈,32708,CJK-J,,,,,,,,,,,
𲜉,32709,CJK-J,,,,,,,,,,,
𲜊,3270A,CJK-J,,,,,,,,,,,
𲜋,3270B,CJK-J,,,,,,,,,,,
𲜌,3270C,CJK-J,,,,,,,,,,,
𲜍,3270D,CJK-J,,,,,,,,,,,
𲜎,3270E,CJK-J,,,,,,,,,,,
𲜏,3270F,CJK-J,,,,,,,,,,,
𲜐,32710,CJK-J,,,,,,,,,,,
𲜑,32711,CJK-J,,,,,,,,,,,
𲜒,32712,CJK-J,,,,,,,,,,,
𲜓,32713,CJK-J,,,,,,,,,,,
𲜔,32714,CJK-J,,,,,,,,,,,
𲜕,32715,CJK-J,,,,,,,,,,,
𲜖,32716,CJK-J,,,,,,,,,,,
𲜗,32717,CJK-J,,,,,,,,,,,
𲜘,32718,CJK-J,,,,,,,,,,,
𲜙,32719,CJK-J,,,,,,,,,,,
𲜚,3271A,CJK-J,,,,,,,,,,,
𲜛,3271B,CJK-J,,,,,,,,,,,
𲜜,3271C,CJK-J,,,,,,,,,,,
𲜝,3271D,CJK-J,,,,,,,,,,,
𲜞,3271E,CJK-J,,,,,,,,,,,
𲜟,3271F,CJK-J,,,,,,,,,,,
𲜠,32720,CJK-J,,,,,,,,,,,
𲜡,32721,CJK-J,,,,,,,,,,,
𲜢,32722,CJK-J,,,,,,,,,,,
𲜣,32723,CJK-J,,,,,,,,,,,
𲜤,32724,CJK-J,,,,,,,,,,,
𲜥,32725,CJK-J,,,,,,,,,,,
𲜦,32726,CJK-J,,,,,,,,,,,
𲜧,32727,CJK-J,,,,,,,,,,,
𲜨,32728,CJK-J,,,,,,,,,,,
𲜩,32729,CJK-J,,,,,,,,,,,
𲜪,3272A,CJK-J,,,,,,,,,,,
𲜫,3272B,CJK-J,,,,,,,,,,,
𲜬,3272C,CJK-J,,,,,,,,,,,
𲜭,3272D,CJK-J,,,,,,,,,,,
𲜮,3272E,CJK-J,,,,,,,,,,,
𲜯,3272F,CJK-J,,,,,,,,,,,
𲜰,32730,CJK-J,,,,,,,,,,,
𲜱,32731,CJK-J,,,,,,,,,,,
𲜲,32732,CJK-J,,,,,,,,,,,
𲜳,32733,CJK-J,,,,,,,,,,,
𲜴,32734,CJK-J,,,,,,,,,,,
𲜵,32735,CJK-J,,,,,,,,,,,
𲜶,32736,CJK-J,,,,,,,,,,,
𲜷,32737,CJK-J,,,,,,,,,,,
𲜸,32738,CJK-J,,,,,,,,,,,
𲜹,32739,CJK-J,,,,,,,,,,,
𲜺,3273A,CJK-J,,,,,,,,,,,
𲜻,3273B,CJK-J,,,,,,,,,,,
𲜼,3273C,CJK-J,,,,,,,,,,,
𲜽,3273D,CJK-J,,,,,,,,,,,
𲜾,3273E,CJK-J,,,,,,,,,,,
𲜿,3273F,CJK-J,,,,,,,,,,,
𲝀,32740,CJK-J,,,,,,,,,,,
𲝁,32741,CJK-J,,,,,,,,,,,
𲝂,32742,CJK-J,,,,,,,,,,,
𲝃,32743,CJK-J,,,,,,,,,,,
𲝄,32744,CJK-J,,,,,,,,,,,
𲝅,32745,CJK-J,,,,,,,,,,,
𲝆,32746,CJK-J,,,,,,,,,,,
𲝇,32747,CJK-J,,,,,,,,,,,
𲝈,32748,CJK-J,,,,,,,,,,,
𲝉,32749,CJK-J,,,,,,,,,,,
𲝊,3274A,CJK-J,,,,,,,,,,,
𲝋,3274B,CJK-J,,,,,,,,,,,
𲝌,3274C,CJK-J,,,,,,,,,,,
𲝍,3274D,CJK-J,,,,,,,,,,,
𲝎,3274E,CJK-J,,,,,,,,,,,
𲝏,3274F,CJK-J,,,,,,,,,,,
𲝐,32750,CJK-J,,,,,,,,,,,
𲝑,32751,CJK-J,,,,,,,,,,,
𲝒,32752,CJK-J,,,,,,,,,,,
𲝓,32753,CJK-J,,,,,,,,,,,
𲝔,32754,CJK-J,,,,,,,,,,,
𲝕,32755,CJK-J,,,,,,,,,,,
𲝖,32756,CJK-J,,,,,,,,,,,
𲝗,32757,CJK-J,,,,,,,,,,,
𲝘,32758,CJK-J,,,,,,,,,,,
𲝙,32759,CJK-J,,,,,,,,,,,
𲝚,3275A,CJK-J,,,,,,,,,,,
𲝛,3275B,CJK-J,,,,,,,,,,,
𲝜,3275C,CJK-J,,,,,,,,,,,
𲝝,3275D,CJK-J,,,,,,,,,,,
